,Player,Season,BA,SLG,launch_angle,sweet_spot_percentage,max_ev,average_ev,fly_ball_line_drive_ev,ground_ball_ev,max_distance,average_distance,average_homerun,hard_hit_95mph+,hard_hit_percentage,hard_hit_swing_percentage,total_barrels,barrels_batted_balls_percentage,barrels_plate_appearance_percentage
0,"Stanton, Giancarlo",2017,0.281,0.631,11.2,31.6,122.2,92.0,100.0,86.8,468,183,418.0,199,45.6,17.0,76,17.4,11.0
1,"Alonso, Pete",2019,0.26,0.583,14.8,36.9,118.3,90.7,96.6,85.9,489,189,414.0,176,42.7,13.7,66,15.8,9.5
2,"Judge, Aaron",2017,0.284,0.627,15.8,38.2,121.1,95.0,100.5,88.6,496,216,413.0,185,54.7,15.1,87,25.7,12.8
3,"Suárez, Eugenio",2019,0.271,0.572,17.7,38.0,112.3,89.3,93.1,86.1,457,195,400.0,157,40.8,13.0,54,13.8,8.2
4,"Davis, Khris",2018,0.247,0.549,18.1,37.7,112.8,92.5,97.2,87.7,438,211,405.0,195,48.1,15.7,70,17.2,10.7
5,"Soler, Jorge",2019,0.265,0.569,15.5,34.5,115.7,92.6,97.2,88.8,465,199,414.0,207,50.1,17.1,70,16.9,10.3
6,"Bellinger, Cody",2019,0.305,0.629,17.9,39.6,110.6,91.1,95.0,86.4,442,207,405.0,207,45.9,17.3,58,12.7,8.8
7,"Martinez, J.D.",2017,0.303,0.69,15.4,37.7,114.8,91.0,97.1,84.4,461,210,412.0,151,49.3,15.4,60,19.5,12.3
8,"Trout, Mike",2019,0.291,0.645,22.2,43.8,116.6,90.9,95.1,84.2,486,234,419.0,155,44.4,16.8,67,18.9,11.2
9,"Yelich, Christian",2019,0.329,0.671,11.3,33.2,117.9,93.3,96.8,91.0,462,184,407.0,182,49.1,17.6,59,15.8,10.2
10,"Davis, Khris",2017,0.247,0.528,14.2,37.6,113.5,92.2,98.7,85.0,458,203,408.0,198,52.4,16.2,67,17.7,10.3
11,"Martinez, J.D.",2018,0.33,0.629,10.8,40.0,116.7,93.0,96.7,89.1,443,184,398.0,226,52.7,17.8,69,16.0,10.6
12,"Arenado, Nolan",2019,0.315,0.583,17.7,34.6,109.9,89.4,92.9,87.9,463,192,406.0,189,37.6,15.4,40,8.0,6.0
13,"Bregman, Alex",2019,0.296,0.592,19.6,35.5,107.4,89.3,92.3,88.0,440,202,382.0,178,38.0,17.4,23,4.8,3.3
14,"Cruz, Nelson",2019,0.311,0.639,13.1,38.3,117.0,93.7,99.2,89.0,478,197,411.0,168,51.5,17.2,65,19.9,12.5
15,"Gallo, Joey",2017,0.209,0.537,23.0,36.0,117.3,93.3,99.1,86.0,490,227,420.0,132,52.2,12.5,56,22.1,10.5
16,"Gallo, Joey",2018,0.206,0.498,21.9,37.5,117.5,94.3,99.9,86.3,495,225,410.0,145,49.5,12.7,66,22.5,11.4
17,"Bellinger, Cody",2017,0.267,0.581,17.5,35.3,112.8,90.8,96.6,84.7,447,199,404.0,153,45.7,15.5,41,12.2,7.5
18,"Cruz, Nelson",2017,0.288,0.549,12.4,34.5,117.7,93.2,98.6,88.4,469,198,411.0,204,48.3,17.5,60,14.2,9.3
19,"Ramírez, José",2018,0.27,0.552,19.0,34.3,110.2,89.0,92.4,86.9,434,196,388.0,173,35.1,14.9,42,8.3,6.0
20,"Springer, George",2019,0.292,0.591,10.5,31.6,114.3,89.8,95.4,85.7,474,176,408.0,160,44.8,15.8,52,14.1,9.4
21,"Trout, Mike",2018,0.312,0.628,18.6,41.0,118.0,91.2,95.9,85.2,459,212,407.0,162,46.2,16.9,58,16.5,9.5
22,"Arenado, Nolan",2018,0.297,0.561,15.3,35.4,109.2,89.8,94.4,86.1,464,184,408.0,192,40.5,14.9,34,7.2,5.1
23,"Encarnación, Edwin",2017,0.258,0.504,16.8,36.4,112.0,89.2,94.2,84.1,466,195,405.0,181,42.5,14.7,44,10.3,6.6
24,"Freeman, Freddie",2019,0.295,0.549,14.4,40.0,112.0,89.7,93.8,85.1,446,192,404.0,200,42.5,14.0,58,12.3,8.4
25,"Lindor, Francisco",2018,0.277,0.519,14.7,34.3,114.5,90.6,94.3,88.3,445,189,400.0,227,41.0,16.5,52,9.3,7.0
26,"Morrison, Logan",2017,0.246,0.516,17.6,39.6,114.4,88.6,94.2,82.0,444,206,405.0,155,42.3,14.3,47,12.8,7.8
